Src Port,Dst Port,Bwd IAT Mean,Idle Max,Fwd IAT Min,Idle Min,Flow Byts/s,Flow IAT Std,vpn
18420,40028,0.0,0.0,0.0,0.0,1658.7313776685608,0.0,1
58226,53,0.0,0.0,0.0,0.0,534550.1955671448,0.0,1
57752,5355,0.0,0.0,410434.0,0.0,107.20359424414156,0.0,0
54660,5355,0.0,0.0,420449.0,0.0,104.65002889767841,0.0,0
42050,443,10502638.909090908,45032873.0,2.0,10126763.0,498.15825063571856,10051543.246779803,0
40011,56909,311291.0,0.0,741.0,0.0,658.933800379188,141837.33101444066,1
59712,80,42965.621621621634,0.0,32.0,0.0,26151.097014313218,130113.19513144465,1
0,0,0.0,33004727.0,32994967.0,32994967.0,0.0,4887.862518524841,1
54667,53,0.0,0.0,0.0,0.0,380952.38095238095,0.0,0
51126,5355,0.0,0.0,411211.0,0.0,107.00102866898015,0.0,0
1300,53,0.0,0.0,0.0,0.0,2010.5352044714305,0.0,1
50940,21,0.0,0.0,0.0,0.0,0.0,0.0,1
60044,5228,45053968.0,45016907.0,45051991.0,45013583.0,0.0,24634713.198198315,0
44567,1886,0.0,0.0,265.0,0.0,244397.01173959445,287.7924599429248,1
63788,5355,0.0,0.0,411434.0,0.0,106.94303339053164,0.0,0
4227,53,0.0,0.0,0.0,0.0,2255.529125578317,0.0,1
57725,5355,0.0,0.0,413977.0,0.0,106.28609801993832,0.0,0
40273,29757,0.0,6043124.0,6043124.0,6043124.0,37.0669210163485,0.0,1
44452,1680,0.0,0.0,102.0,0.0,424369.7478991596,24.041630560342607,1
60630,53,0.0,0.0,0.0,0.0,1345.9571293426345,0.0,1
21979,53,0.0,0.0,0.0,0.0,1911.5634294977174,0.0,1
5353,5353,0.0,32781345.0,1000661.0,8962461.0,7.098718135528135,8831158.251732223,0
15685,40033,0.0,0.0,0.0,0.0,4310.73354616453,0.0,0
443,43093,0.0,0.0,10.0,0.0,0.0,0.0,0
51104,53,0.0,0.0,0.0,0.0,12314.856373429087,0.0,0
54365,5355,0.0,0.0,411643.0,0.0,106.88873611357414,0.0,0
43331,53,0.0,0.0,0.0,0.0,2026.7813628944293,0.0,1
5516,465,67764.5,0.0,1085.0,0.0,3122.6051908163868,73212.56225729613,0
64737,53,0.0,0.0,0.0,0.0,179352.58092738414,0.0,1
5353,5353,0.0,11342530.0,1000785.0,10778796.0,13.011397727393932,4452017.293156762,0
45065,53,0.0,0.0,0.0,0.0,617469.8795180725,0.0,1
62544,5355,0.0,0.0,412412.0,0.0,106.68942707777659,0.0,0
37697,443,0.0,0.0,30784101.0,0.0,0.0,0.0,1
17500,17500,0.0,30092159.0,30085316.0,30085316.0,5.583516343052041,3434.370247949397,0
40749,443,131241.07368421054,0.0,7.0,0.0,20053.587802203878,806359.4768202428,0
64958,5355,0.0,0.0,420773.0,0.0,104.56944718411114,0.0,0
64510,5355,0.0,0.0,410166.0,0.0,107.27364042850945,0.0,0
137,137,0.0,0.0,186393.0,0.0,29.75685030725889,1683211.5497856038,0
0,0,87756236.0,87756195.0,87756277.0,87756195.0,0.0,50666027.29926989,0
17925,53,0.0,0.0,0.0,0.0,479838.7096774193,0.0,0
137,137,0.0,35731762.0,750526.0,6270924.0,9.671919880394887,12241063.539945444,0
47733,443,377294.9471947196,15406912.0,5.0,5890999.0,551.0209721518703,1366901.617129493,0
54278,53,0.0,0.0,0.0,0.0,533159.9479843953,0.0,1
52927,5355,0.0,0.0,418880.0,0.0,105.0420168067227,0.0,0
